institution,city,region,sector,first,initials,last
Kansas State University,Manhattan KS,Kansas,Phys,christer,b,aakeroy
Kansas State University,Manhattan KS,Kansas,Soc,william,j,adams
Kansas State University,Manhattan KS,Kansas,Agr,eric,allen,adee
Kansas State University,Manhattan KS,Kansas,Agr,jonathan,p,aguilar
Kansas State University,Manhattan KS,Kansas,Bio,adam,a,ahlers
Kansas State University,Manhattan KS,Kansas,Chem,christine,m,aikens
Kansas State University,Manhattan KS,Kansas,Bio,eduard,d,akhunov
Kansas State University,Manhattan KS,Kansas,Eng-Ind,bacim,qasim,alali
Kansas State University,Manhattan KS,Kansas,Agr,sajid, alavi
Kansas State University,Manhattan KS,Kansas,Eng-Ind,nathan,l,albin
Kansas State University,Manhattan KS,Kansas,Chem,placidus,bepeh,amama
Kansas State University,Manhattan KS,Kansas,Bio,jayendra,kumar,amamcharla
Kansas State University,Manhattan KS,Kansas,Math,torben, amtoft
Kansas State University,Manhattan KS,Kansas,Soc,barbara,g,anderson
Kansas State University,Manhattan KS,Kansas,Med,gary,a,anderson
Kansas State University,Manhattan KS,Kansas,Med,jared,r,anderson
Kansas State University,Manhattan KS,Kansas,Math,daniel,a,andresen
Kansas State University,Manhattan KS,Kansas,Agr,gordon,a,andrews
Kansas State University,Manhattan KS,Kansas,Hum,katherine,s,ankerson
Kansas State University,Manhattan KS,Kansas,Bio,jennifer,l,anthony
Kansas State University,Manhattan KS,Kansas,Hum,kathleen,alanna,antonioli
Kansas State University,Manhattan KS,Kansas,Med,michael,douglas,apley
Kansas State University,Manhattan KS,Kansas,Chem,fadi,m,aramouni
Kansas State University,Manhattan KS,Kansas,Agr,laura,j,armbrust
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,marne,l,arthaudday
Kansas State University,Manhattan KS,Kansas,Phys,santosh, aryal
Kansas State University,Manhattan KS,Kansas,Bio,katsura, asano
Kansas State University,Manhattan KS,Kansas,Eng-Ind,michael,w,babcock
Kansas State University,Manhattan KS,Kansas,Econ,lance,j,bachmeier
Kansas State University,Manhattan KS,Kansas,Soc,chardie,l,baird
Kansas State University,Manhattan KS,Kansas,Soc,lauri,may,baker
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,joyce, baptist
Kansas State University,Manhattan KS,Kansas,Agr,charles,j,barden
Kansas State University,Manhattan KS,Kansas,Soc,andrew,p,barkley
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,mark,a,barnett
Kansas State University,Manhattan KS,Kansas,Med,elizabeth,b,barrett
Kansas State University,Manhattan KS,Kansas,Bio,thomas,j,barstow
Kansas State University,Manhattan KS,Kansas,Hum,genevieve,s,baudoin
Kansas State University,Manhattan KS,Kansas,Bio,anne,elizabeth,beamish
Kansas State University,Manhattan KS,Kansas,Agr,warren,l,beard
Kansas State University,Manhattan KS,Kansas,Eng-Ind,b,terry,beck
Kansas State University,Manhattan KS,Kansas,Bio,blake, belanger
Kansas State University,Manhattan KS,Kansas,Econ,sam,r,bell
Kansas State University,Manhattan KS,Kansas,Soc,thomas,w,bell
Kansas State University,Manhattan KS,Kansas,Bio,nora,m,bello
Kansas State University,Manhattan KS,Kansas,Math,andrew,g,bennett
Kansas State University,Manhattan KS,Kansas,Bio,jason,scott,bergtold
Kansas State University,Manhattan KS,Kansas,Hum,ethan, bernick
Kansas State University,Manhattan KS,Kansas,Eng-Ind,amy,rachel,betz
Kansas State University,Manhattan KS,Kansas,Agr,r,scott,beyer
Kansas State University,Manhattan KS,Kansas,Hum,kakali, bhattacharya
Kansas State University,Manhattan KS,Kansas,Bio,david,s,biller
Kansas State University,Manhattan KS,Kansas,Chem,hitesh, bindra
Kansas State University,Manhattan KS,Kansas,Soc,nathaniel,andrew,birkhead
Kansas State University,Manhattan KS,Kansas,Math,william,f,blankenau
Kansas State University,Manhattan KS,Kansas,Bio,dale,a,blasi
Kansas State University,Manhattan KS,Kansas,Econ,james,m,bloodgood
Kansas State University,Manhattan KS,Kansas,Chem,william,w,bockus
Kansas State University,Manhattan KS,Kansas,Soc,laura,j,bonella
Kansas State University,Manhattan KS,Kansas,Soc,kristina,m,boone
